Timestamp,Gesamthelligkeit (Lux),Infrarotlicht,Sichtbares Licht,Gesamtspektrum
Zeit: 2024-11-15 13:07:47,Gesamthelligkeit: 179.53 Lux,Infrarotlicht: 589,Sichtbares Licht: 38602181,Gesamtspektrum (IR + sichtbares Licht): 38602770
Zeit: 2024-11-15 13:07:48,Gesamthelligkeit: 179.13 Lux,Infrarotlicht: 585,Sichtbares Licht: 38340032,Gesamtspektrum (IR + sichtbares Licht): 38340617
Zeit: 2024-11-15 13:07:49,Gesamthelligkeit: 179.07 Lux,Infrarotlicht: 584,Sichtbares Licht: 38274495,Gesamtspektrum (IR + sichtbares Licht): 38275079
Zeit: 2024-11-15 13:07:50,Gesamthelligkeit: 178.74 Lux,Infrarotlicht: 584,Sichtbares Licht: 38274493,Gesamtspektrum (IR + sichtbares Licht): 38275077
Zeit: 2024-11-15 13:07:51,Gesamthelligkeit: 178.58 Lux,Infrarotlicht: 584,Sichtbares Licht: 38274492,Gesamtspektrum (IR + sichtbares Licht): 38275076
Zeit: 2024-11-15 13:07:52,Gesamthelligkeit: 178.30 Lux,Infrarotlicht: 582,Sichtbares Licht: 38143417,Gesamtspektrum (IR + sichtbares Licht): 38143999
Zeit: 2024-11-15 13:07:53,Gesamthelligkeit: 178.40 Lux,Infrarotlicht: 581,Sichtbares Licht: 38077881,Gesamtspektrum (IR + sichtbares Licht): 38078462
Zeit: 2024-11-15 13:07:54,Gesamthelligkeit: 177.75 Lux,Infrarotlicht: 581,Sichtbares Licht: 38077877,Gesamtspektrum (IR + sichtbares Licht): 38078458
Zeit: 2024-11-15 13:07:55,Gesamthelligkeit: 177.75 Lux,Infrarotlicht: 581,Sichtbares Licht: 38077877,Gesamtspektrum (IR + sichtbares Licht): 38078458
Zeit: 2024-11-15 13:07:56,Gesamthelligkeit: 177.75 Lux,Infrarotlicht: 581,Sichtbares Licht: 38077877,Gesamtspektrum (IR + sichtbares Licht): 38078458
Zeit: 2024-11-15 13:07:57,Gesamthelligkeit: 177.59 Lux,Infrarotlicht: 581,Sichtbares Licht: 38077876,Gesamtspektrum (IR + sichtbares Licht): 38078457
Zeit: 2024-11-15 13:07:59,Gesamthelligkeit: 177.42 Lux,Infrarotlicht: 581,Sichtbares Licht: 38077875,Gesamtspektrum (IR + sichtbares Licht): 38078456
Zeit: 2024-11-15 13:08:00,Gesamthelligkeit: 177.59 Lux,Infrarotlicht: 581,Sichtbares Licht: 38077876,Gesamtspektrum (IR + sichtbares Licht): 38078457
Zeit: 2024-11-15 13:08:01,Gesamthelligkeit: 177.37 Lux,Infrarotlicht: 580,Sichtbares Licht: 38012338,Gesamtspektrum (IR + sichtbares Licht): 38012918
Zeit: 2024-11-15 13:08:02,Gesamthelligkeit: 176.43 Lux,Infrarotlicht: 578,Sichtbares Licht: 37881259,Gesamtspektrum (IR + sichtbares Licht): 37881837
Zeit: 2024-11-15 13:08:03,Gesamthelligkeit: 176.27 Lux,Infrarotlicht: 578,Sichtbares Licht: 37881258,Gesamtspektrum (IR + sichtbares Licht): 37881836
Zeit: 2024-11-15 13:08:04,Gesamthelligkeit: 176.16 Lux,Infrarotlicht: 579,Sichtbares Licht: 37946794,Gesamtspektrum (IR + sichtbares Licht): 37947373
Zeit: 2024-11-15 13:08:05,Gesamthelligkeit: 176.43 Lux,Infrarotlicht: 578,Sichtbares Licht: 37881259,Gesamtspektrum (IR + sichtbares Licht): 37881837
Zeit: 2024-11-15 13:08:06,Gesamthelligkeit: 176.49 Lux,Infrarotlicht: 579,Sichtbares Licht: 37946796,Gesamtspektrum (IR + sichtbares Licht): 37947375
Zeit: 2024-11-15 13:08:07,Gesamthelligkeit: 176.27 Lux,Infrarotlicht: 578,Sichtbares Licht: 37881258,Gesamtspektrum (IR + sichtbares Licht): 37881836
Zeit: 2024-11-15 13:08:08,Gesamthelligkeit: 176.00 Lux,Infrarotlicht: 579,Sichtbares Licht: 37946793,Gesamtspektrum (IR + sichtbares Licht): 37947372
